0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	12
0	13
0	14
0	15
0	16
0	17
0	18
0	19
0	20
0	21
1	5
1	6
1	7
1	9
1	10
1	13
1	14
1	18
1	19
1	20
1	21
2	6
2	9
2	10
2	13
2	14
2	15
2	18
2	19
2	20
2	22
3	10
3	11
3	15
3	18
3	19
4	11
4	15
4	18
4	19
5	5
5	7
5	18
5	19
5	20
6	5
6	6
6	7
6	9
6	13
6	17
6	18
6	19
6	20
7	5
7	6
7	7
7	9
7	11
7	13
7	16
7	17
7	18
7	20
8	5
8	6
8	7
8	8
8	9
8	10
8	11
8	12
8	15
8	16
8	17
8	20
9	5
9	6
9	7
9	8
9	9
9	11
9	16
9	20
10	6
10	7
10	8
10	13
10	14
10	15
10	16
10	17
11	7
11	15
11	16
11	21
12	7
12	10
12	11
12	12
12	13
12	14
12	15
12	20
12	21
13	7
13	13
13	14
13	19
13	20
13	21
14	7
14	8
14	10
14	16
14	19
14	20
14	21
15	8
15	9
15	10
15	12
15	15
15	16
15	20
15	21
16	9
16	10
16	11
16	12
16	15
16	18
17	4
17	5
17	6
17	7
17	8
17	9
17	10
17	11
17	12
17	13
17	18
17	19
17	20
18	4
18	5
18	6
18	7
18	9
18	11
18	12
18	17
18	18
19	5
19	12
19	15
19	18
20	14
20	15
20	16
20	17
20	18
20	19
21	4
21	5
21	6
21	7
21	8
21	9
21	10
21	11
21	12
21	13
21	14
21	15
21	16
21	17
5	13
8	13
12	4
13	4
14	4
15	4
16	4
